name, latitude, longitude, rating, num_reviews
Rusty Bucket Restaurant and Tavern,40.0071235746,-83.0539999902,3.5,51
Papa John's Pizza,40.0683403,-83.0196381,3.5,3
Romeo's Pizza,39.987429,-83.031729,3,16
Donatos Pizza,39.98114,-83.003922,3,14
Catfish Biff's Pizza & Subs,39.9951782227,-83.0093994141,3,34
Domino's Pizza,39.9647010863,-82.9917164147,3,9
Pharoah's Pizza Palace,40.0159988,-83.002327,3,22
Portofino Pizza,40.0317688,-82.9703674,3,9
Pizza Rustica,39.9618899,-83.000834,3,18
D.P. Dough,39.9880249,-83.005829,3,35
Ange's Pizza,40.0541869551,-83.0200177431,3,13
Grandma's Pizza and Pasta,39.9381599426,-82.9830703735,3,7
Ohio State Pizza,40.0151786804,-83.0024642944,3,12
Boston's Restaurant & Sports Bar,39.9682388,-83.0068665,3,69
Joseppi's Pizza - Hilltop,39.942936,-83.083591,3,14
Josie's Pizza,39.9542934448,-83.0859544873,3,8
Donatos Pizza,39.9912490845,-83.0400619507,3,8
Panzera's Pizza,40.0309147686,-83.0905913562,3,13
Donatos Pizza,40.0048103333,-83.0086746216,3,5
Iacono's Italian Restaurant,40.049202,-83.0496674,3,14
Donatos Pizza,40.018428,-83.056991,3,5
Grandma's Pizza & Pasta,39.9725975096,-82.9077847302,3,8
Sicilia Fine Italian Specialties,40.005165,-83.008347,3,17
Formaggio,39.9979591,-83.0069275,3,13
Papa John's Pizza,40.0052605,-83.008934,3,3
Romeo's Pizza,40.0640052,-83.0558388,3,13
Domino's Pizza,39.9542885,-83.07621,3,8
Morone's,40.0639153,-83.0596008,3,20
Donatos Pizza,40.0512390137,-83.0501403809,3,5
Pizza Shack,39.9579900589,-82.9984098673,3,1
Campus Pizza,39.9918594,-83.0125122,3,2
Donatos Pizza,40.072708,-83.018433,3,4
Little Caesars Pizza,40.0602666101,-82.9850939675,3,3
Donatos Pizza,40.057028085,-82.898369506,3,3
The PAD,40.0069695,-83.0183487,3,4
Minute Man Pizza,40.0152588,-83.0113678,3,2
Little Caesars Pizza,40.019852668,-82.8906031698,3,5
Minuteman Pizza,40.0636404008,-83.0560579151,3,1
Hudson Street Pizza,40.015038,-82.992302,3,5
Pizza Hut,40.06528,-83.07189,3,5
Morse Fish & Chicken Pizza,40.059722,-82.93032,3,1
Donatos Pizza,39.9575271606,-82.9896087646,2.5,15
Buckeye Pizza,39.995189,-83.001159,2.5,10
Donatos Pizza,40.0017738,-82.9297638,2.5,9
Plank's Bier Garten,39.9440917969,-82.9966125488,2.5,52
Papa John's Pizza,39.9885101,-83.0327911,2.5,5
Pizzano's Pizza,40.0216293,-82.9282074,2.5,4
King Pizza,40.0028305297,-82.997830005,2.5,11
Happy's Pizza,39.9566333172,-82.9003599669,2.5,7
Pizza Hut,40.0341110229,-83.0165023804,2.5,6
Papa John's Pizza,40.06145,-82.9739,2.5,8
Donatos Pizza,40.0217979401,-82.9286060482,2.5,2
