name, latitude, longitude, rating, num_reviews, neighborhoods
Whit's Frozen Custard,39.9795637,-83.0042307,4,25, 'Short North'
Tip Top Kitchen & Cocktails,39.9637184,-82.9987106,4,339, 'Downtown'
Bicentennial Park,39.9570007,-83.0034485,4.5,22, 'Downtown'
The Guild House,39.9752978235,-83.0031238496,4,84, 'Short North'
Stauf's Coffee Roasters,39.9838066,-83.0450439,4,199, 'Grandview Heights'
Heirloom,40.0004692,-83.0089722,4,30, 'University District'
Hyde Park Prime Steakhouse,39.9739799,-83.0031281,4,114, 'Short North'
zpizza,39.9814491,-83.0045776,4,100, 'Short North'
39 Below FroYo,39.9637401849,-82.9996470362,4.5,38, 'Downtown'
Creole Kitchen,39.9721240997,-82.9736879468,4,63, 'King-Lincoln'
Viking Growl And Tap Room,39.990116,-83.012703,4,19, 'University District'
Red Velvet Cafe,39.957589,-82.9949616607,4.5,30, 'Downtown'
Pastaria,39.9721718,-83.004158,4,44, 'Short North'
Tommy's Diner,39.959629,-83.025139,4,67, 'Franklinton'
Custom Chef,39.962936,-82.998383,4.5,17, 'Downtown'
Melt Bar & Grilled,39.9795335,-83.0040083,3.5,311, 'Short North'
Mac's Café,39.9765343219,-83.0034772307,3.5,116, 'Short North'
Level Dining Lounge,39.9767189,-83.003273,3.5,110, 'Short North
Bareburger,39.9718867242,-83.0025786906,4,143, 'Short North'
Plantain Café,39.9637299,-82.9986191,4,117, 'Downtown'
Ringside Cafe,39.962887,-82.999977,4,62, 'Downtown'
Z Cucina Di Spirito,39.985909,-83.044411,4,124, 'Grandview Heights'
Raising Cane's Chicken Fingers,40.0184972495,-83.0247145884,4.5,60, ''
89 Fish & Grill,39.968727,-82.999435,4,116, 'Downtown'
Vino Vino,39.9857483,-83.0448532,4,87, 'Grandview Heights'
The Market Italian Village,39.983596,-83.001174,4,56, 'Italian Village'
Comfest,39.9737663,-83.0048752,4,64, 'Short North
Figlio,39.985576719,-83.0447939783,4,83, 'Grandview Heights'
Double Comfort Restaurant,39.9722941123,-83.0021700004,3.5,99, 'Short North'
O'Reilly's Pub,40.0198708,-83.0124435,4,88, 'Clintonville'
Schmidt's Sausage Haus,39.946228,-82.990997,4,529, 'German Village'
Sidebar Columbus,39.956757,-82.996132,4,109, 'Downtown'
Caffé Apropos,39.9837303,-83.0170593,3.5,86, 'Harrison West'
Mazah Mediterranean Eatery,39.9874921028,-83.0453024927,4.5,52, 'Grandview Heights'
Lavash Cafe,40.0231018,-83.0139771,4.5,253, 'Clintonville'
The Sycamore,39.9492301941,-82.9908752441,4,93, 'German Village'
Impero Coffee Roasters,39.9797401,-83.0042267,3.5,92, 'Short North'
Mya's Fried Chicken,40.0313693039,-83.0155247077,4,96, 'Clintonville'
Piece of Cake,39.978142,-83.003288,4,53, 'Short North
Pizza Cucinova,39.9848175,-83.02285,4,42, 'Grandview Heights'
Denmark,39.9718471,-83.0028524,4,45, 'Short North'
Phatt Wraps,39.9968580902,-83.0070780963,4,33, 'University District'
Oddfellows Liquor Bar,39.9835045,-83.0046273,4,23, 'Short North'
Enas Caribbean Soul Food Kitchen,40.017216,-82.964828,4,70, 'Linden'
Schiller Park,39.9421387,-82.9925537,4.5,49, 'German Village'
Omega Artisan Baking,39.9721718,-83.004158,4,36, 'Short North'
Sarefino's Pizzerria & Italian Deli,39.9721718,-83.004158,4,25, 'Short North'
Whole World Natural Restaurant & Bakery,40.0288506,-83.0153198,4,130, 'Clintonville'
Moy's Restaurant,40.00304,-83.008408,3.5,72, 'University District'
Bier Stube,39.992496,-83.006989,4,24, 'University District'
Forno Kitchen + Bar,39.9769897,-83.0036621,3.5,90, 'Short North'
Joy's Village,40.0044708,-83.0082397,4,44, 'University District'
The Shrunken Head,39.9872437,-83.0132828,4,34, 'Victorian Village'
Kooma Restaurant,39.9713898,-83.0033569,4,82, 'Short North'
Lemongrass Fusion Bistro,39.9753914,-83.0033035,3.5,195, 'Short North'
Starbucks,39.9694786,-83.0048981,4.5,16, 'Arena District'
Little Palace Bar & Restaurant,39.9576759338,-82.9950180054,4,156, 'Downtown'
Haiku Poetic Food & Art,39.9786606,-83.0034866,3.5,211, 'Short North
Char Bar,39.9712791,-83.0026398,4,52, 'Short North'
Meister's Bar,39.9937363,-83.0390778,4,48, 'Upper Arlington'
Passport Cafe & Catering,39.9799690247,-83.0634841919,4.5,38, ''
The El Camino Inn,39.9577484,-82.9951324,4,131, 'Downtown'
